nr,company,location_hq,region,usstate,country,continent,laid_off,date_layoffs,percentage,company_size_before_layoffs,company_size_after_layoffs,industry,stage,money_raised_in__mil,year,latitude,longitude
1865,Fly.io,Chicago,,Illinois,USA,North America,40.0,04.09.24,,,,Infrastructure,Series C,110,2024,"41,8755616","-87,6244212"
1866,Lyft,San Francisco,San Francisco Bay Area,California,USA,North America,30.0,04.09.24,1,3000.0,2970.0,Transportion,Post-IPO,5,2024,"37,7792588","-122,4193286"
1869,Dozee,Bengaluru,,,India,Asia,40.0,02.09.24,,,,Healthcare,Series A,26,2024,"12,98815675","77,62260004"
1870,Dunzo,Bengaluru,,,India,Asia,150.0,31.08.24,75,200.0,50.0,Food,Unknown,458,2024,"12,98815675","77,62260004"
1871,Character.ai,Menlo Park,San Francisco Bay Area,California,USA,North America,6.0,29.08.24,5,120.0,114.0,AI,Series A,150,2024,"37,4519671","-122,177992"
1872,Brave,San Francisco,San Francisco Bay Area,California,USA,North America,27.0,28.08.24,14,193.0,166.0,Consumer,Series B,42,2024,"37,7792588","-122,4193286"
1873,Apple,Cupertino,San Francisco Bay Area,California,USA,North America,100.0,27.08.24,,,,Hardware,Post-IPO,1,2024,"37,3228934","-122,0322895"
1874,IBM,Beijing,,,China,Asia,1000.0,26.08.24,,,,Hardware,Post-IPO,,2024,"39,916668","116,383331"
1875,Tome Biosciences,Boston,,Massachusetts,USA,North America,131.0,26.08.24,100,131.0,,Healthcare,Series A,213,2024,"42,3554334","-71,060511"
1876,Velo3D,Fremont,San Francisco Bay Area,California,USA,North America,42.0,26.08.24,,,,Manufacturing,Post-IPO,305,2024,"37,5482697","-121,988571"
1880,Redfin,Seattle,,Washington,USA,North America,82.0,22.08.24,2,4100.0,4018.0,Real Estate,Post-IPO,320,2024,"47,6038321","-122,330062"
1882,Skip the Dishes,Winnipeg,,,Canada,North America,800.0,20.08.24,,,,Food,Acquired,8,2024,"49,895077","-97,138451"
1883,Five9,San Ramon,San Francisco Bay Area,California,USA,North America,190.0,20.08.24,7,2714.0,2524.0,Support,Post-IPO,862,2024,"37,77466357","-121,9734961"
1885,GoPro,San Mateo,San Francisco Bay Area,California,USA,North America,139.0,19.08.24,15,927.0,788.0,Consumer,Post-IPO,288,2024,"37,496904","-122,3330573"
1887,Paper,Montreal,,,Canada,North America,81.0,16.08.24,45,180.0,99.0,Education,Series D,389,2024,"45,5031824","-73,5698065"
1888,Retention.com,Austin,,Texas,USA,North America,15.0,16.08.24,,,,Marketing,Unknown,,2024,"30,2711286","-97,7436995"
1891,AppLovin,Palo Alto,San Francisco Bay Area,California,USA,North America,61.0,15.08.24,,,,Marketing,Post-IPO,2,2024,"37,4443293","-122,1598465"
1892,Inuitive,Ra'anana,,,Israel,Asia,16.0,15.08.24,20,80.0,64.0,Manufacturing,Unknown,23,2024,"32,1860244","34,8678359"
1897,Sonos,Santa Barbara,,California,USA,North America,100.0,14.08.24,6,1667.0,1567.0,Consumer,Post-IPO,455,2024,"34,4221319","-119,702667"
1898,Grail,Menlo Park,San Francisco Bay Area,California,USA,North America,350.0,13.08.24,,,,Healthcare,Post-IPO,,2024,"37,4519671","-122,177992"
1902,Cisco,San Jose,San Francisco Bay Area,California,USA,North America,5600.0,09.08.24,7,80000.0,74400.0,Infrastructure,Post-IPO,2,2024,"37,3361663","-121,890591"
1903,Branch.io,Palo Alto,San Francisco Bay Area,California,USA,North America,100.0,09.08.24,,,,Marketing,Series F,667,2024,"37,4443293","-122,1598465"
1904,iCIMS,Holmdel,,New Jersey,USA,North America,69.0,09.08.24,,,,Recruiting,Acquired,93,2024,"40,3306","-74,141"
1907,Eventbrite,San Francisco,San Francisco Bay Area,California,USA,North America,100.0,07.08.24,11,909.0,809.0,Consumer,Post-IPO,557,2024,"37,7792588","-122,4193286"
1909,Axios Media,Washington DC,,District of Columbia,USA,North America,50.0,06.08.24,10,500.0,450.0,Media,Acquired,57,2024,"38,8950368","-77,0365427"
1912,Infineon,Munich,,Bayern,Germany,Europe,1400.0,05.08.24,,,,Manufacturing,Post-IPO,2,2024,"48,1371079","11,5753822"
1913,Jam City,Los Angeles,,California,USA,North America,85.0,05.08.24,10,850.0,765.0,Consumer,Unknown,652,2024,"34,0536909","-118,242766"
